t: 419872448 ESC: 6 Hall Sensors: 23593 769 		 Accel: 0.00 -0.15
t: 419941088 ESC: 6 Hall Sensors: 0 769 		 Accel: 0.00 -0.11
t: 420057452 ESC: 6 Hall Sensors: 18350 769 		 Accel: 0.00 0.00
t: 420083020 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.07 7.64
t: 420196608 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.08 0.00
t: 420222104 ESC: 6 Hall Sensors: 7864 5243 		 Accel: 0.00 0.00
t: 420337856 ESC: 6 Hall Sensors: -26214 2621 		 Accel: 0.00 7.73
t: 420415664 ESC: 6 Hall Sensors: 769 770 		 Accel: 7.69 0.00
t: 420441172 ESC: 6 Hall Sensors: 770 0 		 Accel: 0.10 7.68
t: 420500832 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.05 7.65
t: 420566352 ESC: 6 Hall Sensors: 769 768 		 Accel: 0.00 7.61
t: 420631868 ESC: 6 Hall Sensors: 768 769 		 Accel: -0.04 7.58
t: 420750348 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.07 0.00
t: 420775848 ESC: 6 Hall Sensors: 23593 -23593 		 Accel: 0.00 0.00
t: 420843832 ESC: 6 Hall Sensors: -26214 0 		 Accel: 0.00 -0.18
t: 420963364 ESC: 6 Hall Sensors: 2621 769 		 Accel: 0.00 0.00
t: 420988888 ESC: 6 Hall Sensors: 769 0 		 Accel: -0.12 7.51
t: 421050616 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.09 7.54
t: 421117176 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.04 7.55
t: 421235640 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.00 0.00
t: 421313016 ESC: 6 Hall Sensors: 23593 28836 		 Accel: 0.00 0.00
t: 421338896 ESC: 6 Hall Sensors: 18350 -18350 		 Accel: 0.00 0.00
t: 421461508 ESC: 6 Hall Sensors: 23593 23593 		 Accel: 0.00 7.72
t: 421487400 ESC: 6 Hall Sensors: 770 769 		 Accel: 0.14 7.67
t: 421552916 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.09 7.68
t: 421618440 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.08 7.65
t: 421683960 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.01 7.61
t: 421749480 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.03 7.58
t: 421867924 ESC: 7 Hall Sensors: 769 768 		 Accel: -0.11 0.00
t: 421945336 ESC: 6 Hall Sensors: -26214 0 		 Accel: 0.00 0.00
t: 422022692 ESC: 7 Hall Sensors: 5243 0 		 Accel: 0.00 0.00
t: 422100040 ESC: 7 Hall Sensors: -26214 -20972 		 Accel: 0.00 0.00
t: 422179928 ESC: 6 Hall Sensors: -13107 0 		 Accel: 0.00 0.00
t: 422205408 ESC: 6 Hall Sensors: 23593 15729 		 Accel: 0.00 0.00
t: 422272384 ESC: 6 Hall Sensors: 0 13107 		 Accel: 0.00 0.02
t: 422337896 ESC: 6 Hall Sensors: 13107 769 		 Accel: 0.00 0.07
t: 422405496 ESC: 6 Hall Sensors: -13107 769 		 Accel: 0.00 0.11
t: 422474144 ESC: 6 Hall Sensors: 28836 769 		 Accel: 0.00 0.12
t: 422541740 ESC: 6 Hall Sensors: 5243 769 		 Accel: 0.00 0.14
t: 422608300 ESC: 6 Hall Sensors: -18350 769 		 Accel: 0.00 0.14
t: 422728856 ESC: 6 Hall Sensors: 26214 769 		 Accel: 0.00 0.00
