t: 1489599144 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.13
t: 1489666740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1489734340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.11
t: 1489801940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.27 8.13
t: 1489869544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.12
t: 1489937140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.14
t: 1490004740 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.16
t: 1490072340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.13
t: 1490139940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.14
t: 1490207544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.11
t: 1490275144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1490342744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1490410344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.17
t: 1490477944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.19 8.16
t: 1490545544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.13
t: 1490613144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.15
t: 1490680744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.19 8.15
t: 1490748344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1490815944 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.20 8.15
t: 1490883544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.14
t: 1490951144 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1491018744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.13
t: 1491086352 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.27 8.12
t: 1491153952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.27 8.12
t: 1491221552 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.14
t: 1491289152 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.13
