microsec deg hall1 hall2 accelX accelY
447287568 6 769 -15729 7.58 0.00
447356196 6 -15729 -5243 0.00 -0.08
447427956 6 15729 770 0.00 -0.11
447496596 6 -26214 769 0.00 -0.12
447566276 6 18350 769 0.00 -0.12
447634916 6 -23593 769 0.00 -0.09
447704596 6 18350 769 0.00 -0.06
447773236 6 -26214 769 0.00 -0.03
447842916 6 15729 769 0.00 0.01
447910516 6 -31457 770 0.00 0.04
447979156 6 10486 770 0.00 0.06
448046756 6 7864 769 0.00 0.11
448165236 7 -13107 770 0.00 0.00
448242736 6 769 0 7.65 0.00
448268148 6 768 0 0.03 7.62
448325836 6 769 769 0.00 7.62
448391356 6 770 769 -0.01 7.58
448457916 6 769 769 -0.06 7.58
448524476 6 769 769 -0.09 7.54
448591036 6 769 769 -0.11 7.51
448657596 6 769 769 -0.09 7.53
448724156 6 769 769 -0.10 7.51
448790716 6 769 769 -0.08 7.55
448857276 6 769 768 -0.04 7.57
448923836 6 769 769 -0.01 7.60
448990396 6 769 769 0.00 7.63
449055912 6 769 769 0.04 7.66
449121436 6 769 769 0.09 7.66
449186952 6 769 769 0.10 7.69
449252476 6 769 769 0.09 7.67
449317996 6 769 769 0.07 7.65
449383516 6 770 769 0.04 7.63
449449036 6 769 769 0.00 7.62
449514556 6 769 769 -0.01 7.59
449581112 6 769 769 -0.08 7.57
449647672 6 769 769 -0.11 7.52
449714232 6 769 769 -0.13 7.54
449780792 6 769 769 -0.09 7.54
449847352 6 769 769 -0.11 7.53
449913912 6 769 769 -0.08 7.53
449980472 6 769 770 -0.05 7.57
450047032 6 769 769 0.00 7.61
450112556 6 769 769 0.05 7.61
450178072 6 769 769 0.07 7.66
450243596 6 770 769 0.07 7.68
450309104 6 769 769 0.11 7.69
450374624 6 769 769 0.09 7.66
450440144 6 769 769 0.07 7.67
450505664 6 769 769 0.06 7.64
450571188 6 769 769 0.00 7.59
450636708 6 769 769 -0.02 7.57
450703268 6 769 769 -0.09 7.53
450769828 6 769 769 -0.08 7.55
450836388 6 769 769 -0.11 7.52
450902948 6 769 769 -0.11 7.51
450969508 6 769 769 -0.09 7.54
451036064 6 769 769 -0.07 7.56
451102628 6 769 769 -0.03 7.58
451169188 6 769 770 0.00 7.62
451234708 6 769 769 0.04 7.63
451300224 6 769 769 0.09 7.67
451365748 6 769 769 0.09 7.64
451431264 6 769 769 0.09 7.68
