microsec deg hall1 hall2 accelX accelY
66500 0 -13107 0 8.27 0.00
113908 0 603 18350 8.27 0.00
178392 0 603 -15729 8.28 0.00
243908 0 0 -23593 0.00 0.27
307352 0 -13107 831 0.00 0.29
372872 0 20972 831 0.00 0.29
437352 0 20972 831 0.00 0.29
501832 0 10486 831 0.00 0.24
566312 0 -10486 831 0.00 0.18
631832 0 -20972 831 0.00 0.15
697352 0 -31457 831 0.00 0.12
762864 0 23593 831 0.00 0.11
827344 0 -20972 831 0.00 0.12
892864 0 -31457 831 0.00 0.14
958384 0 0 831 0.00 0.17
1018704 0 0 831 0.00 0.19
1080064 0 -10486 831 0.00 0.22
1146620 0 10486 832 0.00 0.24
1212140 0 0 831 0.00 0.23
1273504 0 0 831 0.00 0.23
1334860 0 20972 832 0.00 0.22
1400380 0 0 831 0.00 0.23
1461744 0 0 831 0.00 0.26
1523100 0 31457 831 0.00 0.24
1588620 0 10486 831 0.00 0.23
1654140 0 10486 831 0.00 0.25
1719660 0 0 831 0.00 0.22
1781020 0 0 831 0.00 0.22
1842392 0 10486 831 0.00 0.20
1907912 0 0 831 0.00 0.20
1969272 0 -10486 831 0.00 0.15
2035832 0 -20972 831 0.00 0.15
2102392 0 -20972 832 0.00 0.14
2168952 0 0 831 0.00 0.13
2230312 0 -20972 831 0.00 0.13
2296872 0 0 831 0.00 0.16
2358224 0 0 831 0.00 0.18
2419584 0 0 831 0.00 0.20
2480940 0 0 831 0.00 0.22
2542300 0 0 831 0.00 0.24
2603664 0 -23593 831 0.00 0.23
2670220 0 10486 831 0.00 0.26
2735740 0 20972 831 0.00 0.27
2801260 0 31457 831 0.00 0.26
2866780 0 10486 830 0.00 0.25
2932300 0 31457 831 0.00 0.24
2997820 0 10486 831 0.00 0.20
3063340 0 0 831 0.00 0.18
3124700 0 -10486 831 0.00 0.17
3191260 0 -31457 832 0.00 0.14
3257820 0 -31457 831 0.00 0.17
3324380 0 0 831 0.00 0.16
3385744 0 -31457 831 0.00 0.19
3452300 0 -10486 831 0.00 0.18
3518860 0 10486 831 0.00 0.20
3584380 0 0 831 0.00 0.19
3645744 0 10486 832 0.00 0.20
3711260 0 10486 831 0.00 0.19
3776788 0 10486 831 0.00 0.18
3842316 0 0 830 0.00 0.22
3903676 0 10486 831 0.00 0.22
3969192 0 0 831 0.00 0.26
4030552 0 20972 832 0.00 0.25
4096072 0 10486 831 0.00 0.26
4161592 0 20972 831 0.00 0.26
4227112 0 31457 831 0.00 0.26
4292632 0 20972 831 0.00 0.21
4358152 0 0 831 0.00 0.20
4419504 0 0 831 0.00 0.15
4480864 0 -10486 831 0.00 0.16
4547424 0 -20972 830 0.00 0.14
4613984 0 -20972 831 0.00 0.16
4680544 0 -10486 831 0.00 0.17
4747104 0 -20972 831 0.00 0.19
4813664 0 -20972 831 0.00 0.20
4880224 0 20972 831 0.00 0.23
4945744 0 10486 831 0.00 0.24
5011264 0 31457 831 0.00 0.22
5076780 0 -10486 831 0.00 0.21
5143340 0 20972 831 0.00 0.20
5208860 0 0 831 0.00 0.18
5270220 0 0 831 0.00 0.20
5331580 0 0 831 0.00 0.23
5392940 0 -23593 831 0.00 0.24
5459500 0 0 831 0.00 0.23
5572784 1 10486 831 0.00 0.00
5598272 1 603 0 0.21 0.00
5655876 1 0 831 0.00 0.20
5717244 1 0 831 0.00 0.19
5778608 1 -20972 831 0.00 0.14
5845168 1 -10486 831 0.00 0.14
5911728 1 -20972 832 0.00 0.16
5978288 1 10486 831 0.00 0.16
6043808 1 0 831 0.00 0.20
6105168 1 0 831 0.00 0.20
6166520 1 10486 831 0.00 0.21
6232040 1 20972 831 0.00 0.22
6297560 1 10486 831 0.00 0.22
6363080 1 20972 831 0.00 0.22
6428600 1 -10486 831 0.00 0.23
6495160 1 20972 831 0.00 0.22
6560680 1 0 831 0.00 0.21
6622040 1 -20972 831 0.00 0.20
6688600 1 0 831 0.00 0.20
6749956 1 0 832 0.00 0.20
6811316 1 0 831 0.00 0.22
6872680 1 0 831 0.00 0.21
6934036 1 0 831 0.00 0.20
6995396 1 0 832 0.00 0.20
7056756 1 0 832 0.00 0.20
7118116 1 0 831 0.00 0.18
7179488 1 -20972 831 0.00 0.18
7246048 1 0 831 0.00 0.18
7307408 1 -10486 831 0.00 0.18
7373968 1 0 831 0.00 0.19
7435328 1 -10486 831 0.00 0.20
7501888 1 10486 831 0.00 0.22
7567408 1 -23593 831 0.00 0.20
7633968 1 10486 832 0.00 0.22
7699488 1 0 831 0.00 0.20
7760840 1 10486 831 0.00 0.19
7826360 1 -10486 831 0.00 0.20
7892920 1 20972 831 0.00 0.20
7958440 1 10486 832 0.00 0.22
8023960 1 0 831 0.00 0.20
8085320 1 10486 831 0.00 0.19
8150840 1 0 831 0.00 0.19
8212200 1 -20972 831 0.00 0.19
8278760 1 0 832 0.00 0.19
8340116 1 -20972 831 0.00 0.19
8406680 1 0 831 0.00 0.21
8468040 1 10486 831 0.00 0.21
8533556 1 -10486 831 0.00 0.20
8600116 1 20972 832 0.00 0.20
8665640 1 31457 831 0.00 0.23
8731156 1 0 832 0.00 0.21
8792516 1 10486 832 0.00 0.21
8858036 1 0 831 0.00 0.19
8919396 1 20972 831 0.00 0.19
8984916 1 10486 831 0.00 0.20
9050436 1 10486 831 0.00 0.20
9115956 1 -10486 831 0.00 0.20
9182516 1 0 831 0.00 0.21
9243880 1 -10486 831 0.00 0.22
9310440 1 10486 831 0.00 0.22
9375968 1 0 831 0.00 0.21
9437328 1 10486 831 0.00 0.20
9554760 3 -10486 831 0.00 0.00
9632124 10 603 0 8.25 0.00
9709400 19 604 0 8.24 0.00
9786648 28 603 0 8.25 0.00
9863892 38 603 0 8.27 0.00
9941160 41 603 0 8.28 0.00
9966524 41 603 0 0.22 8.26
10022164 41 831 603 0.21 8.28
10087692 41 831 603 0.21 8.29
10153204 41 832 604 0.21 8.27
10218724 41 831 603 0.19 8.27
10284252 41 831 603 0.19 8.25
10349772 41 832 603 0.18 8.24
10415292 41 831 603 0.18 8.26
10480812 41 831 603 0.21 8.25
10546332 41 831 604 0.20 8.25
10611852 41 831 603 0.21 8.25
10677372 41 831 602 0.21 8.27
10742892 41 831 603 0.21 8.25
10808412 41 831 603 0.22 8.25
10873928 41 831 603 0.21 8.24
10939448 41 831 603 0.20 8.26
11004972 41 832 603 0.19 8.25
11070488 41 831 603 0.18 8.25
11136012 41 831 603 0.20 8.25
11201528 41 831 603 0.21 8.25
11267048 41 831 603 0.21 8.26
11332568 41 831 603 0.24 8.27
11398088 41 831 603 0.22 8.28
11463608 41 831 603 0.21 8.25
11529128 41 831 603 0.19 8.25
11646556 44 831 604 0.18 0.00
11706944 50 5243 0 0.00 0.00
11784652 58 831 604 8.25 0.00
11862068 67 600 0 7.67 0.00
11939348 70 579 0 7.47 0.00
11964756 70 598 0 0.45 7.68
12022432 70 780 628 0.44 9.38
12087956 70 738 685 0.21 7.90
12153476 70 748 746 1.35 7.17
12218996 70 768 765 2.76 2.81
12284512 70 771 769 4.54 2.78
12350040 70 771 770 6.45 3.53
12415556 70 765 763 0.00 0.72
12481072 70 750 735 -0.53 3.76
12547636 70 778 495 1.83 3.39
12613156 70 702 605 0.29 3.33
12678680 70 752 741 1.06 -0.60
12745236 70 769 766 4.66 2.59
12810760 70 771 770 4.94 5.29
12876280 70 771 769 5.28 1.81
12941788 70 762 760 4.31 2.61
13007316 70 740 712 -0.42 3.52
13073868 70 851 433 -1.43 1.37
13140436 70 666 650 2.21 3.89
13205952 70 758 755 0.76 1.68
13271468 70 770 769 2.23 1.35
13337000 70 771 770 6.17 4.64
13402512 70 770 767 2.07 3.29
13468040 70 755 750 3.07 5.29
13533552 70 748 649 0.71 5.35
13599080 70 856 351 1.38 -1.47
13665640 70 727 707 1.41 2.95
13731160 70 763 761 0.82 -0.23
13797720 70 770 770 3.87 1.23
13863236 70 771 770 1.46 0.81
13928752 70 768 765 3.29 0.51
13994268 70 742 737 2.12 6.69
14059792 70 751 552 0.33 4.85
14125324 70 750 477 5.74 1.46
14190844 70 750 724 2.16 -0.47
14257400 70 766 765 4.10 0.00
14322916 70 770 770 1.99 4.86
14388444 70 772 769 1.09 1.51
14453972 70 764 763 2.89 7.35
14519492 70 739 723 0.13 5.32
14585012 70 821 495 -0.29 1.89
14651572 70 675 616 3.02 -0.92
14718124 70 753 745 1.81 -0.73
14784692 70 769 768 1.89 -1.52
14851252 70 770 770 1.74 1.13
14916772 70 771 769 4.34 2.38
14982284 70 760 757 1.81 7.43
15047804 70 731 684 3.71 2.41
15113332 70 863 384 2.00 -0.06
15179884 70 694 660 1.25 -1.37
15246452 70 762 759 2.90 0.33
15311964 70 770 769 1.64 -0.77
15378532 70 771 770 0.00 5.42
15444052 70 770 767 2.11 6.31
15509568 70 751 745 7.30 -0.32
15576132 70 750 604 3.05 4.41
15693556 73 834 409 -1.38 0.00
15881336 84 770 0 3.16 0.00
15958620 86 768 0 3.15 0.00
16035948 87 743 0 2.77 0.00
16061360 87 541 0 -0.40 0.00
16120080 87 -20972 836 0.00 3.53
16188708 87 5243 714 0.00 2.18
16255272 87 5243 760 0.00 -2.93
16322872 87 18350 770 0.00 5.50
16390480 87 18350 771 0.00 6.20
16458072 87 31457 770 0.00 2.65
16525672 87 0 747 0.00 2.63
16589112 87 -28836 741 0.00 0.70
16657752 87 -23593 843 0.00 1.81
16726392 87 23593 733 0.00 1.45
16793992 87 5243 766 0.00 -0.28
16913512 88 15729 770 0.00 0.00
16990956 89 766 0 5.03 0.00
17068264 90 730 0 7.04 0.00
17145548 91 361 0 -0.21 0.00
17170956 91 746 0 -0.14 -2.49
17231760 91 769 766 0.11 1.35
17297276 91 770 771 4.70 0.33
17414708 91 768 768 -3.16 0.00
17443512 91 -13107 0 1.95 0.00
17504040 91 494 20972 2.83 0.00
17571644 91 695 26214 2.74 0.00
17691124 91 762 -28836 0.30 3.08
17716728 91 20972 762 0.00 0.00
17783568 91 -20972 -2621 0.00 0.00
17854292 91 5243 -28836 0.00 0.00
17923972 91 10486 -23593 0.00 0.00
17994692 91 23593 23593 0.00 0.79
18064372 91 -15729 770 0.00 -0.94
18134060 91 5243 753 0.00 4.40
18200620 91 31457 873 0.00 3.41
18268216 91 -20972 723 0.00 3.15
18336860 91 -5243 768 0.00 1.82
18404456 91 20972 771 0.00 3.63
18472060 91 -20972 765 0.00 1.35
18540700 91 28836 743 0.00 0.85
18608300 91 0 530 0.00 -1.20
18672776 91 -5243 759 0.00 -0.65
18741420 91 0 771 0.00 2.84
18804860 91 -26214 769 0.00 2.06
18873500 91 -13107 732 0.00 1.04
18942140 91 -26214 861 0.00 3.73
19010780 91 -7864 750 0.00 2.45
19078368 91 -31457 770 0.00 1.35
19147016 91 -13107 771 0.00 0.56
19215640 91 -15729 759 0.00 3.51
19284296 91 -31457 886 0.00 -1.50
19353968 91 0 665 0.00 1.85
19417416 91 -13107 767 0.00 0.47
19486048 91 -15729 772 0.00 -0.57
19555724 91 20972 761 0.00 1.34
19623328 91 26214 728 0.00 1.80
19690928 91 -15729 708 0.00 0.40
19759564 91 18350 763 0.00 -2.21
19828208 91 15729 770 0.00 3.42
19895804 91 0 770 0.00 2.16
19959248 91 -2621 749 0.00 0.83
20026844 91 15729 842 0.00 -2.02
20095488 91 23593 702 0.00 2.65
20163088 91 15729 769 0.00 -1.68
20231724 91 18350 771 0.00 1.35
20299328 91 2621 757 0.00 4.08
20365888 91 -7864 804 0.00 2.64
20433488 91 26214 720 0.00 2.09
20501084 91 -18350 768 0.00 4.54
20569724 91 -13107 770 0.00 4.63
20638364 91 10486 767 0.00 5.35
20705968 91 -15729 741 0.00 6.19
20774604 91 -28836 584 0.00 1.27
20843248 91 15729 756 0.00 -1.47
20911888 91 -26214 771 0.00 1.19
20980528 91 10486 769 0.00 0.40
21048136 91 -31457 736 0.00 4.78
21116772 91 23593 825 0.00 0.95
21184372 91 20972 756 0.00 2.59
21251972 91 -13107 770 0.00 -0.84
21321652 91 28836 771 0.00 5.10
21389256 91 5243 757 0.00 1.23
21455816 91 -15729 837 0.00 -1.12
21525492 91 31457 689 0.00 2.09
21593100 91 -5243 768 0.00 -1.52
21661740 91 -20972 771 0.00 -2.24
21731420 91 28836 763 0.00 2.03
21799020 91 23593 746 0.00 4.32
21866620 91 7864 705 0.00 3.27
21933180 91 18350 764 0.00 -4.20
22001820 91 -31457 771 0.00 7.35
22070460 91 -13107 769 0.00 3.27
22139100 91 26214 746 0.00 3.07
22206692 91 -26214 691 0.00 -3.04
22276368 91 -20972 745 0.00 2.79
22345008 91 5243 771 0.00 3.46
22411564 91 31457 769 0.00 0.16
22479164 91 20972 742 0.00 4.48
22546768 91 -5243 861 0.00 3.90
22614368 91 0 757 0.00 2.79
22677804 91 23593 770 0.00 1.04
22745400 91 -23593 770 0.00 0.77
