microsec deg hall1 hall2 accelX accelY
128067172 0 685 732 0.00 0.00
128092656 0 684 0 0.00 0.00
128152340 0 0 0 0.00 0.00
128213700 0 0 688 0.00 0.00
128277140 0 0 683 0.00 0.00
128340580 0 0 681 0.00 0.00
128404020 0 0 688 0.00 0.00
128467460 0 0 686 0.00 1.04
128530900 0 20972 688 0.00 1.31
128598500 0 -18350 688 0.00 1.05
128667140 0 0 686 0.00 1.25
128730584 0 -23593 686 0.00 0.52
128799220 0 23593 687 0.00 0.52
128866820 0 0 686 0.00 1.16
128930260 0 -10486 686 0.00 0.23
128998900 0 28836 687 0.00 0.69
129066500 0 -13107 685 0.00 0.62
129135140 0 -15729 687 0.00 0.83
129203780 0 0 686 0.00 0.92
129267220 0 20972 683 0.00 0.26
129334824 0 10486 688 0.00 1.93
129402420 0 -18350 689 0.00 1.33
129471064 0 -10486 689 0.00 1.81
129539700 0 31457 689 0.00 1.58
129607300 0 26214 688 0.00 1.23
129674900 0 -2621 688 0.00 1.16
129742500 0 -18350 687 0.00 0.79
129811140 0 -31457 688 0.00 1.38
129879780 0 7864 687 0.00 1.01
129946344 0 -5243 688 0.00 1.09
130013940 0 -15729 688 0.00 1.03
130082580 0 7864 688 0.00 0.98
130149144 0 -15729 688 0.00 0.98
130217784 0 7864 688 0.00 0.82
130284344 0 -15729 688 0.00 0.56
130352984 0 23593 687 0.00 0.44
130420584 0 -18350 687 0.00 0.40
130489224 0 -13107 686 0.00 0.18
130557864 0 5243 686 0.00 -0.05
130625464 0 26214 686 0.00 -0.38
130694104 0 -20972 686 0.00 -0.64
130763792 0 -31457 685 0.00 -0.67
130833472 0 -26214 686 0.00 -0.57
130903148 0 -31457 686 0.00 -0.29
130972832 0 0 686 0.00 -0.04
131037312 0 -26214 687 0.00 0.13
131105948 0 23593 687 0.00 0.25
131173552 0 28836 686 0.00 0.24
131241152 0 -28836 687 0.00 0.49
131309788 0 0 688 0.00 0.66
131373232 0 -20972 687 0.00 0.78
131441872 0 -20972 687 0.00 0.57
131510504 0 -5243 687 0.00 0.18
131578108 0 2621 685 0.00 -0.28
131645708 0 23593 686 0.00 -0.49
131714340 0 13107 686 0.00 -0.51
131782980 0 10486 686 0.00 -0.35
131851620 0 0 686 0.00 -0.17
131916100 0 -13107 685 0.00 -0.08
131985784 0 5243 686 0.00 -0.07
132053380 0 -7864 686 0.00 -0.14
132122020 0 -7864 686 0.00 -0.15
132190660 0 20972 687 0.00 0.08
132258260 0 18350 687 0.00 0.41
132325864 0 -18350 687 0.00 0.59
132394500 0 15729 687 0.00 0.50
132462100 0 5243 686 0.00 0.28
132528664 0 -23593 686 0.00 -0.07
132598340 0 -5243 686 0.00 -0.20
