min:s.ms grams
5:54.380 810.22
5:54.429 773.03
5:54.527 777.01
5:54.628 814.04
5:54.728 812.39
5:54.781 776.56
5:54.882 777.61
5:54.982 814.09
5:55.082 806.56
5:55.129 771.37
5:55.229 774.79
5:55.329 811.06
5:55.430 807.04
5:55.483 771.55
5:55.583 778.05
5:55.684 815.88
5:55.731 806.65
5:55.831 769.47
5:55.931 777.97
5:56.031 814.09
5:56.085 804.98
5:56.185 769.08
5:56.285 777.30
5:56.332 811.89
5:56.434 799.37
5:56.532 764.87
5:56.633 777.68
5:56.686 812.82
5:56.786 806.67
5:56.887 773.62
5:56.987 785.36
5:57.034 822.07
5:57.134 803.94
5:57.234 770.56
5:57.334 780.42
5:57.388 817.53
5:57.488 805.81
5:57.588 769.90
5:57.689 786.47
5:57.735 823.27
5:57.836 805.67
5:57.936 772.53
5:58.036 788.76
5:58.090 822.67
5:58.190 809.44
5:58.290 772.93
5:58.391 789.26
5:58.439 821.71
5:58.538 799.24
5:58.638 767.49
5:58.738 784.54
5:58.792 818.88
5:58.892 807.83
5:58.992 774.08
5:59.039 793.89
5:59.139 828.63
5:59.255 802.74
5:59.340 769.46
5:59.393 789.03
5:59.493 821.91
5:59.593 802.10
5:59.673 766.54
5:59.756 788.00
5:59.840 818.91
5:59.941 793.14
5:59.994 765.00
6:00.094 790.36
6:00.175 819.79
6:00.295 804.78
6:00.342 775.61
6:00.444 797.81
6:00.542 824.00
6:00.643 795.15
6:00.696 768.39
6:00.796 793.08
6:00.897 819.87
6:00.997 796.24
6:01.097 767.89
6:01.144 796.31
6:01.213 824.50
6:01.344 794.46
6:01.398 771.15
6:01.498 799.32
6:01.598 824.00
6:01.698 798.45
6:01.745 772.79
6:01.845 798.86
6:01.946 819.53
6:02.046 789.48
6:02.146 769.97
6:02.199 797.61
6:02.299 821.83
6:02.400 795.41
6:02.448 771.57
6:02.547 804.44
6:02.647 826.92
6:02.701 793.27
6:02.801 772.24
6:02.901 801.91
6:03.002 823.98
6:03.048 793.77
6:03.149 771.41
6:03.264 803.67
6:03.349 820.94
6:03.402 785.36
6:03.503 769.79
6:03.603 802.82
6:03.703 822.25
6:03.750 793.75
6:03.850 770.20
6:03.950 804.55
6:04.051 823.14
6:04.104 786.04
6:04.204 768.82
6:04.304 799.81
6:04.405 820.88
6:04.443 791.02
6:04.552 769.36
6:04.652 804.83
6:04.705 820.91
6:04.805 783.50
6:04.905 768.81
6:05.006 801.49
6:05.106 821.08
6:05.153 788.59
6:05.268 767.51
6:05.353 805.02
6:05.406 821.04
6:05.507 783.92
6:05.607 768.62
6:05.654 802.31
6:05.754 821.21
6:05.854 791.13
6:05.955 770.64
6:06.008 806.90
6:06.108 820.26
6:06.209 780.29
6:06.309 768.41
6:06.356 804.66
6:06.490 820.14
6:06.571 786.56
6:06.656 769.79
6:06.709 806.59
6:06.810 820.57
6:06.910 781.01
6:07.010 772.54
6:07.057 809.85
6:07.158 820.81
6:07.226 787.50
6:07.358 773.65
6:07.411 806.94
6:07.511 818.39
6:07.612 780.20
6:07.712 773.73
6:07.759 809.96
6:07.859 816.92
6:07.959 780.15
6:08.060 771.10
6:08.113 808.59
6:08.213 815.39
6:08.314 778.18
6:08.361 773.74
6:08.449 810.60
6:08.577 813.67
6:08.661 776.49
6:08.730 772.50
6:08.815 806.57
6:08.915 808.24
6:09.015 771.92
6:09.062 769.28
6:09.163 805.92
6:09.278 808.37
6:09.316 771.76
6:09.416 770.69
6:09.516 808.58
6:09.617 809.77
6:09.717 772.06
6:09.764 770.02
6:09.864 805.42
6:09.964 805.26
6:10.018 767.96
6:10.118 767.88
6:10.199 804.88
6:10.281 805.13
6:10.365 768.89
6:10.499 770.40
6:10.535 808.26
6:10.666 807.15
6:10.735 770.13
6:10.820 771.15
6:10.920 807.99
6:11.020 806.02
6:11.067 768.40
6:11.167 770.54
6:11.236 807.46
6:11.368 805.35
6:11.421 769.80
6:11.521 773.78
6:11.622 811.30
6:11.669 808.10
6:11.768 771.20
6:11.869 774.53
6:11.969 811.05
6:12.061 806.56
6:12.123 770.06
6:12.205 774.36
6:12.301 810.10
6:12.376 804.76
6:12.473 768.45
6:12.570 774.76
6:12.671 811.36
6:12.739 805.32
6:12.824 769.71
6:12.924 776.36
6:13.024 812.32
6:13.070 804.45
6:13.171 768.17
6:13.286 775.18
6:13.324 810.22
6:13.424 801.49
6:13.524 765.90
6:13.625 777.77
6:13.725 811.90
6:13.825 797.22
6:13.872 764.51
6:13.972 781.62
6:14.026 812.82
6:14.126 792.50
6:14.226 764.22
6:14.326 784.82
6:14.426 808.18
6:14.473 784.15
6:14.574 764.50
6:14.675 786.86
6:14.727 803.48
6:14.828 778.20
6:14.928 768.89
6:15.028 792.12
6:15.075 799.26
6:15.177 773.34
6:15.275 771.51
6:15.329 794.18
6:15.429 793.37
6:15.530 769.73
6:15.630 776.68
6:15.678 795.77
6:15.777 786.42
6:15.877 768.20
6:15.977 782.96
6:16.048 799.09
6:16.131 782.10
6:16.213 770.63
6:16.293 789.42
6:16.378 796.82
6:16.478 774.44
6:16.578 772.21
6:16.680 794.26
6:16.732 792.53
6:16.832 772.63
6:16.932 780.34
6:17.033 798.16
6:17.079 787.55
6:17.182 770.42
6:17.280 785.34
6:17.368 798.62
6:17.449 780.08
6:17.534 772.71
6:17.634 790.38
6:17.735 793.20
6:17.782 774.53
6:17.882 775.61
6:17.982 795.13
6:18.035 791.92
6:18.136 775.42
6:18.236 784.07
6:18.283 797.70
6:18.436 787.51
6:18.483 768.54
6:18.583 772.71
6:18.685 796.85
6:18.737 795.36
6:18.837 776.41
6:18.938 787.82
6:18.984 810.82
6:19.085 797.92
6:19.189 785.28
6:19.285 806.67
6:19.339 819.51
6:19.439 801.52
6:19.539 797.49
6:19.639 818.04
6:19.739 819.78
6:19.786 814.93
6:19.887 823.29
6:19.987 826.81
6:20.040 827.12
6:20.141 823.75
6:20.241 822.62
6:20.341 823.79
6:20.388 824.76
6:20.488 823.06
6:20.588 821.68
6:20.675 823.46
6:20.722 824.38
6:20.842 822.94
6:20.942 822.76
6:21.042 823.65
6:21.089 822.88
6:21.191 821.84
6:21.290 822.87
6:21.390 824.05
6:21.443 822.87
6:21.544 822.29
6:21.644 823.38
6:21.725 823.34
6:21.807 822.69
6:21.891 823.11
6:21.945 823.63
6:22.045 823.05
6:22.145 822.53
6:22.246 823.35
6:22.293 823.55
6:22.427 822.97
6:22.508 823.03
6:22.593 823.35
6:22.647 823.11
6:22.747 822.95
6:22.847 823.35
6:22.947 823.43
6:22.994 823.05
6:23.094 823.04
6:23.181 823.24
6:23.263 823.21
6:23.348 823.14
6:23.448 823.22
6:23.548 823.25
6:23.647 823.22
6:23.748 823.18
6:23.795 823.08
6:23.894 823.12
6:23.995 823.23
6:24.049 823.14
6:24.149 823.08
6:24.230 823.24
6:24.312 823.21
6:24.397 822.99
6:24.481 823.07
6:24.565 823.22
6:24.699 823.03
6:24.750 822.96
6:24.851 823.10
6:24.951 823.01
6:24.998 822.82
6:25.098 822.90
6:25.200 823.02
6:25.298 822.85
6:25.352 822.82
6:25.452 822.88
6:25.552 822.79
6:25.652 822.68
6:25.700 822.79
6:25.799 822.86
6:25.900 822.77
6:25.953 822.78
6:26.053 822.81
6:26.154 822.74
6:26.254 822.71
6:26.354 822.79
6:26.401 822.80
6:26.501 822.80
6:26.602 822.84
6:26.655 822.83
6:26.736 822.77
6:26.855 822.78
6:26.956 822.78
6:27.056 822.77
6:27.103 822.84
6:27.189 822.87
6:27.272 822.77
6:27.356 822.73
6:27.457 822.73
6:27.557 822.70
6:27.657 822.72
6:27.692 822.78
6:27.820 822.77
6:27.904 822.70
6:27.958 822.71
6:28.058 822.71
6:28.158 822.68
6:28.240 822.74
6:28.321 822.79
6:28.406 822.72
6:28.521 822.68
6:28.606 822.68
6:28.660 822.64
6:28.775 822.62
6:28.860 822.66
6:28.960 822.66
6:29.007 822.65
6:29.107 822.65
6:29.194 822.67
6:29.276 822.65
6:29.361 822.65
6:29.461 822.68
6:29.561 822.68
6:29.662 822.69
6:29.743 822.69
6:29.824 822.63
6:29.909 822.61
6:30.009 822.63
6:30.062 822.62
6:30.163 822.62
6:30.243 822.65
6:30.325 822.65
6:30.410 822.65
6:30.526 822.66
6:30.611 822.67
6:30.664 822.65
6:30.745 822.62
6:30.865 822.64
6:30.965 822.63
6:31.065 822.58
6:31.112 822.58
6:31.214 822.57
6:31.312 822.57
6:31.366 822.58
