min:s.ms grams
4:29.686 794.89
4:29.786 797.35
4:29.886 799.04
4:29.933 799.24
4:30.033 799.59
4:30.134 800.90
4:30.187 801.21
4:30.287 798.38
4:30.387 795.07
4:30.488 791.07
4:30.588 786.71
4:30.635 784.06
4:30.735 783.65
4:30.835 783.42
4:30.889 782.45
4:30.989 781.07
4:31.089 780.46
4:31.189 780.87
4:31.236 781.17
4:31.336 783.19
4:31.436 787.11
4:31.537 791.87
4:31.590 796.93
4:31.690 801.36
4:31.790 806.63
4:31.890 812.86
4:31.935 817.98
4:32.037 822.28
4:32.138 826.34
4:32.238 830.69
4:32.338 833.74
4:32.391 836.21
4:32.471 838.46
4:32.554 840.90
4:32.639 842.30
4:32.739 842.48
4:32.839 842.49
4:32.939 842.39
4:32.993 840.92
4:33.093 840.25
4:33.193 840.06
4:33.240 837.93
4:33.340 835.22
4:33.441 831.10
4:33.541 826.68
4:33.594 822.29
4:33.695 815.95
4:33.795 808.02
4:33.895 799.57
4:33.942 797.28
4:34.042 792.81
4:34.143 785.96
4:34.211 773.81
4:34.296 761.93
4:34.396 754.68
4:34.478 753.06
4:34.559 749.72
4:34.643 749.48
4:34.743 749.48
4:34.844 754.88
4:34.897 759.14
4:34.997 765.31
4:35.097 772.56
4:35.198 782.24
4:35.245 792.70
4:35.345 806.18
4:35.445 815.49
4:35.545 818.52
4:35.599 823.55
4:35.699 830.84
4:35.800 842.89
4:35.900 850.52
4:35.947 854.83
4:36.047 856.68
4:36.147 856.68
4:36.216 856.68
4:36.301 852.09
4:36.401 848.01
4:36.501 845.98
4:36.548 842.92
4:36.649 839.65
4:36.748 835.95
4:36.802 833.98
4:36.902 832.14
4:37.002 830.55
4:37.103 829.09
4:37.184 827.75
4:37.265 826.43
4:37.350 825.62
4:37.450 824.74
4:37.551 823.53
4:37.604 823.22
4:37.685 822.96
4:37.767 822.79
4:37.905 822.66
4:37.952 822.58
4:38.052 822.54
4:38.152 822.55
4:38.221 822.62
4:38.306 822.69
4:38.406 822.69
4:38.487 822.66
4:38.569 822.65
4:38.653 822.65
4:38.753 822.67
4:38.853 822.74
4:38.907 822.78
4:39.007 822.77
4:39.107 822.72
4:39.208 822.71
4:39.308 822.72
4:39.355 822.72
4:39.455 822.77
4:39.555 822.80
4:39.609 822.82
4:39.690 822.82
4:39.809 822.78
4:39.856 822.75
4:39.957 822.75
4:40.057 822.76
4:40.158 822.74
4:40.226 822.71
4:40.311 822.68
4:40.410 822.67
4:40.491 822.69
4:40.573 822.73
4:40.658 822.78
4:40.774 822.79
4:40.858 822.77
4:40.912 822.76
4:41.012 822.78
4:41.112 822.78
4:41.192 822.78
4:41.275 822.79
4:41.360 822.80
4:41.460 822.81
4:41.560 822.80
4:41.661 822.82
4:41.696 822.85
4:41.814 822.90
4:41.914 822.95
4:41.961 822.94
4:42.061 822.91
4:42.162 822.90
4:42.231 822.90
4:42.315 822.91
4:42.415 822.93
4:42.496 822.93
4:42.578 822.88
4:42.663 822.85
4:42.763 822.83
4:42.863 822.84
4:42.917 822.85
4:43.017 822.85
4:43.117 822.85
4:43.217 822.84
4:43.264 822.83
4:43.364 822.81
4:43.465 822.81
4:43.518 822.81
4:43.618 822.82
4:43.699 822.80
4:43.781 822.76
4:43.866 822.74
4:43.966 822.74
4:44.066 822.75
4:44.167 822.77
4:44.235 822.78
4:44.320 822.78
4:44.420 822.74
4:44.501 822.73
4:44.583 822.73
4:44.668 822.73
4:44.768 822.69
4:44.868 822.66
4:44.921 822.62
4:45.022 822.59
4:45.122 822.59
4:45.222 822.62
4:45.269 822.62
4:45.369 822.66
4:45.469 822.67
4:45.570 822.66
4:45.623 822.67
4:45.704 822.69
4:45.823 822.70
4:45.870 822.70
4:45.971 822.71
4:46.071 822.70
4:46.124 822.69
4:46.225 822.71
4:46.325 822.73
4:46.425 822.76
4:46.505 822.79
4:46.588 822.79
4:46.674 822.78
4:46.773 822.76
4:46.826 822.74
4:46.926 822.74
4:47.026 822.75
4:47.127 822.73
4:47.176 822.72
4:47.274 822.68
4:47.374 822.65
4:47.474 822.65
4:47.528 822.66
4:47.628 822.68
4:47.728 822.68
4:47.829 822.68
4:47.876 822.67
4:47.976 822.65
4:48.076 822.63
4:48.179 822.65
4:48.230 822.70
4:48.329 822.73
4:48.430 822.73
4:48.530 822.72
4:48.577 822.72
4:48.679 822.73
4:48.777 822.77
4:48.878 822.81
4:48.931 822.86
4:49.031 822.86
4:49.132 822.86
4:49.181 822.86
4:49.279 822.87
4:49.379 822.85
4:49.432 822.84
4:49.532 822.86
4:49.632 822.86
4:49.733 822.83
4:49.833 822.82
4:49.880 822.80
4:49.980 822.78
4:50.080 822.77
4:50.134 822.79
4:50.234 822.80
4:50.334 822.80
4:50.435 822.78
4:50.535 822.76
4:50.582 822.77
4:50.684 822.78
4:50.782 822.80
4:50.835 822.81
4:50.936 822.83
4:51.036 822.86
4:51.136 822.86
4:51.185 822.86
4:51.283 822.86
4:51.383 822.88
4:51.484 822.91
4:51.537 822.92
4:51.637 822.95
4:51.738 822.95
4:51.838 822.92
4:51.885 822.91
4:51.985 822.90
4:52.085 822.90
4:52.187 822.91
4:52.239 822.92
4:52.339 822.91
4:52.439 822.90
4:52.486 822.90
4:52.587 822.90
4:52.688 822.91
4:52.787 822.91
4:52.840 822.92
4:52.941 822.88
4:53.041 822.86
4:53.141 822.85
4:53.222 822.85
4:53.304 822.86
4:53.389 822.86
4:53.442 822.87
4:53.542 822.88
4:53.642 822.88
4:53.743 822.88
4:53.843 822.87
4:53.890 822.84
4:53.990 822.84
4:54.091 822.84
4:54.178 822.81
4:54.225 822.79
4:54.344 822.79
4:54.445 822.76
4:54.545 822.76
4:54.592 822.76
4:54.694 822.76
4:54.792 822.73
4:54.845 822.73
4:54.946 822.73
4:55.046 822.73
4:55.146 822.74
4:55.195 822.74
4:55.293 822.74
4:55.393 822.73
4:55.493 822.73
4:55.547 822.73
4:55.647 822.73
4:55.728 822.77
4:55.810 822.79
4:55.895 822.80
4:55.995 822.81
4:56.095 822.83
4:56.149 822.82
4:56.264 822.82
4:56.349 822.85
4:56.429 822.85
4:56.512 822.83
4:56.596 822.81
4:56.683 822.81
4:56.766 822.84
4:56.850 822.84
4:56.950 822.86
4:57.051 822.88
4:57.151 822.90
4:57.199 822.91
4:57.298 822.88
4:57.398 822.88
4:57.499 822.90
4:57.552 822.91
4:57.652 822.90
4:57.753 822.93
4:57.853 822.93
4:57.900 822.92
4:58.000 822.92
4:58.100 822.95
4:58.188 822.96
4:58.235 822.97
4:58.354 822.97
4:58.454 822.98
4:58.501 822.98
4:58.601 822.99
4:58.703 822.99
4:58.755 822.98
4:58.855 822.99
4:58.955 823.00
4:59.056 822.98
4:59.156 822.99
4:59.237 823.03
4:59.319 823.04
4:59.403 823.05
4:59.457 823.05
4:59.557 823.06
4:59.657 823.05
4:59.739 823.05
4:59.820 823.03
4:59.904 823.01
5:00.005 822.99
5:00.105 822.99
5:00.159 822.99
5:00.274 822.98
5:00.358 823.02
5:00.438 823.02
5:00.521 823.03
5:00.605 823.06
5:00.707 823.06
5:00.806 823.02
5:00.859 822.99
5:00.959 822.98
5:01.060 823.01
5:01.160 823.03
5:01.194 823.05
5:01.322 823.03
5:01.407 823.04
5:01.507 823.05
5:01.561 823.07
5:01.661 823.08
5:01.742 823.08
5:01.823 823.07
5:01.908 823.03
5:02.008 823.02
5:02.062 823.00
5:02.163 822.96
5:02.278 822.94
5:02.362 822.95
5:02.443 822.95
5:02.525 822.96
5:02.610 822.94
5:02.712 822.91
5:02.763 822.90
5:02.863 822.90
5:02.963 822.90
5:03.064 822.93
5:03.164 822.95
5:03.245 822.95
5:03.326 822.95
5:03.411 822.96
5:03.465 823.01
5:03.565 823.03
5:03.666 823.03
5:03.746 823.02
5:03.828 823.03
5:03.912 823.01
5:04.013 822.99
5:04.113 822.96
5:04.167 822.90
5:04.248 822.94
5:04.367 823.07
5:04.449 824.23
5:04.529 828.40
5:04.614 828.06
5:04.701 823.38
5:04.830 819.24
5:04.868 824.92
5:04.968 830.87
5:05.068 831.17
5:05.169 817.59
5:05.203 809.31
5:05.331 818.14
5:05.416 828.71
5:05.516 829.23
5:05.569 815.82
5:05.670 807.96
5:05.770 814.05
5:05.817 825.05
5:05.917 826.51
5:06.017 809.48
5:06.118 794.54
5:06.172 803.93
5:06.287 826.25
5:06.372 835.84
5:06.452 819.36
5:06.534 796.67
5:06.619 800.37
5:06.721 825.05
5:06.820 839.71
5:06.873 821.12
5:06.973 797.95
5:07.073 798.94
5:07.174 820.95
5:07.254 837.19
5:07.336 823.68
5:07.421 799.71
5:07.475 797.06
5:07.575 818.66
5:07.675 836.55
5:07.756 827.66
5:07.838 804.73
5:07.922 795.84
5:08.022 816.04
5:08.123 838.39
5:08.176 831.65
5:08.276 807.68
5:08.377 796.25
5:08.425 812.56
5:08.524 834.71
5:08.624 833.79
5:08.724 810.51
5:08.778 793.77
5:08.878 808.45
5:08.978 833.00
5:09.079 836.08
5:09.126 815.54
5:09.225 796.07
5:09.326 804.93
5:09.426 829.62
5:09.479 838.21
5:09.580 818.29
5:09.680 796.40
5:09.780 801.58
5:09.827 825.01
5:09.927 837.77
5:10.028 823.27
5:10.128 798.62
5:10.181 798.39
5:10.282 822.61
5:10.382 839.55
5:10.482 826.92
5:10.529 802.77
5:10.629 797.72
5:10.729 818.02
5:10.830 838.34
5:10.883 830.29
5:10.984 806.09
5:11.084 796.81
5:11.131 815.03
5:11.231 836.83
5:11.331 834.04
5:11.384 810.66
5:11.485 795.71
5:11.585 810.86
5:11.685 835.17
5:11.785 836.43
5:11.832 813.57
5:11.933 796.49
5:12.033 807.11
5:12.133 831.21
5:12.186 837.59
5:12.287 817.41
5:12.387 796.37
5:12.435 803.59
5:12.534 827.38
5:12.634 837.85
5:12.734 821.14
5:12.788 797.93
5:12.888 799.69
5:12.988 822.18
5:13.089 837.25
5:13.136 822.95
5:13.236 799.86
5:13.336 797.71
5:13.436 819.16
5:13.490 837.37
5:13.590 828.22
5:13.690 804.53
5:13.791 796.51
5:13.838 816.59
5:13.938 837.70
5:14.038 832.43
5:14.138 808.83
5:14.191 796.37
5:14.292 812.23
5:14.392 834.91
5:14.440 835.03
5:14.539 812.31
5:14.639 795.62
5:14.693 808.38
5:14.840 832.24
5:14.893 837.04
5:14.993 817.30
5:15.094 796.28
5:15.193 804.06
5:15.240 827.72
5:15.341 837.56
5:15.395 820.28
5:15.495 797.63
5:15.595 800.26
5:15.675 822.65
5:15.758 837.26
5:15.842 824.35
5:15.942 800.99
5:16.043 797.59
5:16.096 819.49
5:16.212 837.74
5:16.297 828.96
5:16.397 804.95
5:16.445 796.00
5:16.544 814.58
5:16.644 835.86
5:16.745 832.16
5:16.798 808.61
5:16.898 794.95
5:16.999 810.25
5:17.099 833.10
5:17.146 834.88
5:17.246 813.49
5:17.346 794.69
5:17.446 805.29
5:17.500 829.46
5:17.599 836.63
5:17.699 817.68
5:17.746 796.13
5:17.847 801.64
5:17.947 824.88
5:18.047 837.23
5:18.147 822.05
5:18.201 798.40
5:18.301 798.45
5:18.401 821.21
5:18.450 837.68
5:18.548 826.42
5:18.648 802.77
5:18.748 796.95
5:18.801 817.17
5:18.902 837.34
5:19.002 830.79
5:19.102 806.86
5:19.149 796.12
5:19.249 813.59
5:19.350 835.61
5:19.450 834.24
5:19.503 811.44
5:19.603 795.54
5:19.703 809.23
5:19.803 833.03
5:19.850 836.61
5:19.951 815.62
5:20.051 796.29
5:20.151 805.30
5:20.204 829.12
5:20.305 838.17
5:20.406 820.52
5:20.486 798.11
5:20.568 802.13
5:20.652 824.81
5:20.753 838.21
5:20.806 823.94
5:20.906 800.53
5:21.006 798.84
5:21.107 820.67
5:21.154 838.27
5:21.269 828.03
5:21.354 804.66
5:21.407 797.77
5:21.508 817.49
5:21.608 837.57
5:21.708 832.41
5:21.755 808.72
5:21.855 796.13
5:21.955 812.67
5:22.055 835.28
5:22.109 835.15
5:22.209 812.85
5:22.309 795.95
5:22.409 808.00
5:22.489 831.62
5:22.572 837.03
5:22.657 817.26
5:22.756 796.52
5:22.810 804.16
5:22.910 827.75
5:23.010 838.08
5:23.110 821.61
5:23.192 798.47
5:23.273 800.33
5:23.358 822.45
5:23.458 837.34
5:23.511 824.47
5:23.594 801.41
5:23.676 797.73
5:23.811 818.90
5:23.858 837.61
5:23.958 829.96
5:24.059 806.18
5:24.112 796.35
5:24.228 814.92
5:24.312 836.15
5:24.413 833.31
5:24.493 810.40
5:24.575 795.44
5:24.660 810.08
5:24.729 833.06
5:24.813 835.93
5:24.913 815.12
5:25.013 796.15
5:25.114 805.86
5:25.161 829.72
5:25.277 837.77
5:25.361 820.11
5:25.415 797.72
5:25.515 801.89
5:25.615 824.34
5:25.715 837.57
5:25.815 823.53
5:25.862 800.34
5:25.962 798.43
5:26.063 820.23
5:26.116 837.73
5:26.197 828.20
5:26.316 804.53
5:26.417 796.52
5:26.497 816.03
5:26.579 836.37
5:26.665 832.31
5:26.733 808.91
5:26.817 795.39
5:26.918 810.94
5:27.018 833.52
5:27.118 834.49
5:27.165 812.92
5:27.281 794.96
5:27.365 806.35
5:27.419 830.03
5:27.519 836.78
5:27.619 817.97
5:27.719 796.39
5:27.766 802.30
5:27.866 825.57
5:27.966 837.15
5:28.066 821.55
5:28.120 798.18
5:28.220 798.46
5:28.320 820.60
5:28.421 836.92
5:28.501 825.82
5:28.583 802.56
5:28.669 796.94
5:28.737 817.47
5:28.821 837.11
5:28.922 830.59
5:29.022 806.82
5:29.122 795.42
5:29.203 812.83
5:29.285 834.71
5:29.369 833.44
5:29.423 810.67
5:29.523 794.90
5:29.623 808.15
5:29.703 831.58
5:29.786 835.51
5:29.870 815.39
5:29.971 795.37
5:30.071 804.09
5:30.124 827.64
5:30.224 837.02
5:30.325 819.91
5:30.372 797.39
5:30.506 800.19
5:30.587 822.48
5:30.674 836.66
5:30.773 823.54
5:30.826 800.44
5:30.926 797.56
5:31.026 819.07
5:31.073 837.08
5:31.175 828.65
5:31.274 805.40
5:31.374 796.68
5:31.428 815.57
5:31.528 836.15
5:31.628 832.25
5:31.728 809.43
5:31.775 795.56
5:31.875 810.82
5:31.975 833.59
5:32.076 835.36
5:32.179 814.01
5:32.229 795.92
5:32.329 806.36
5:32.430 829.84
5:32.476 837.06
5:32.577 818.74
5:32.679 797.10
5:32.777 802.51
5:32.831 825.10
5:32.931 837.33
5:33.031 822.50
5:33.078 799.20
5:33.180 798.82
5:33.279 820.82
5:33.379 837.34
5:33.479 826.62
5:33.533 803.50
5:33.633 797.47
5:33.681 817.43
5:33.779 836.96
5:33.880 831.36
5:33.980 808.13
5:34.080 796.30
5:34.134 812.92
5:34.234 834.71
5:34.334 834.19
5:34.381 812.54
5:34.481 795.95
5:34.582 808.43
5:34.684 831.61
5:34.735 836.79
5:34.836 817.49
5:34.936 797.07
5:35.036 804.50
5:35.136 827.62
5:35.186 837.73
5:35.283 821.93
5:35.383 799.31
5:35.437 800.83
5:35.537 822.61
5:35.637 837.64
5:35.738 825.81
5:35.784 803.03
5:35.885 798.37
5:35.985 818.84
5:36.085 837.60
5:36.139 830.54
5:36.239 807.13
5:36.339 796.56
5:36.386 814.20
5:36.486 835.29
5:36.586 833.43
5:36.688 811.07
5:36.786 795.47
5:36.840 808.90
5:36.940 831.96
5:37.040 835.54
5:37.087 815.64
5:37.189 795.80
5:37.288 804.23
5:37.388 827.77
5:37.441 836.90
5:37.542 818.65
5:37.642 795.24
5:37.723 802.47
5:37.804 826.37
5:37.889 829.36
5:37.989 807.51
5:38.089 795.76
5:38.143 808.61
5:38.259 824.29
5:38.306 814.62
5:38.443 801.20
5:38.490 803.48
5:38.590 808.20
5:38.692 804.53
5:38.744 801.91
5:38.844 807.41
5:38.944 809.61
5:39.045 794.20
5:39.145 786.19
5:39.193 804.29
5:39.292 812.46
5:39.392 796.56
5:39.446 780.61
5:39.546 796.22
5:39.646 811.85
5:39.727 802.52
5:39.809 781.83
5:39.894 790.52
5:39.994 810.25
5:40.094 807.54
5:40.148 785.56
5:40.248 784.87
5:40.348 806.30
5:40.395 809.97
5:40.511 791.06
5:40.595 781.43
5:40.682 801.31
5:40.765 811.96
5:40.849 798.69
5:40.950 781.42
5:41.050 795.34
5:41.097 811.97
5:41.199 804.06
5:41.297 782.64
5:41.397 788.78
5:41.451 809.93
5:41.551 808.35
5:41.651 782.45
5:41.751 781.14
5:41.798 808.73
5:41.899 810.60
5:41.999 780.45
5:42.099 774.17
5:42.153 805.63
5:42.253 812.14
5:42.353 780.51
5:42.400 768.43
5:42.500 800.05
5:42.600 812.13
5:42.687 780.50
5:42.770 764.14
5:42.855 794.47
5:42.955 812.14
5:43.055 781.38
5:43.102 762.08
5:43.189 792.16
5:43.318 811.10
5:43.356 779.20
5:43.456 762.65
5:43.556 795.10
5:43.657 811.62
5:43.737 778.18
5:43.819 764.07
5:43.904 797.22
5:44.004 810.50
5:44.058 776.17
5:44.158 765.38
5:44.239 799.77
5:44.321 810.54
5:44.406 775.46
5:44.521 766.65
5:44.606 801.99
5:44.694 809.37
5:44.775 772.95
5:44.859 767.57
5:44.959 803.49
5:45.059 808.49
5:45.106 772.86
5:45.208 769.42
5:45.306 805.89
5:45.407 807.16
5:45.460 770.34
5:45.560 770.35
5:45.660 806.47
5:45.761 805.47
5:45.807 770.05
5:45.908 772.26
5:46.008 808.88
5:46.108 804.04
5:46.162 768.11
5:46.262 773.53
5:46.362 809.20
5:46.410 803.01
5:46.525 768.97
5:46.609 775.95
5:46.663 811.50
5:46.778 801.54
5:46.863 767.36
5:46.963 777.17
5:47.064 811.22
5:47.110 800.07
5:47.201 767.34
5:47.295 779.72
5:47.380 813.83
5:47.465 798.54
5:47.565 766.91
5:47.666 781.56
5:47.746 813.69
5:47.828 798.35
5:47.912 767.97
5:48.012 784.79
5:48.066 815.93
5:48.167 796.19
5:48.247 767.26
5:48.329 785.36
5:48.466 815.58
5:48.513 796.47
5:48.613 767.50
5:48.701 788.18
5:48.783 816.44
5:48.867 792.70
5:48.967 766.26
5:49.014 787.19
5:49.115 815.66
5:49.249 794.36
5:49.330 768.74
5:49.415 792.76
5:49.468 818.40
5:49.569 792.52
5:49.669 768.61
5:49.750 792.32
5:49.831 818.68
5:49.916 794.61
5:50.016 768.87
5:50.070 795.61
5:50.170 820.00
5:50.252 791.01
5:50.332 769.01
5:50.450 794.23
5:50.533 819.67
5:50.618 795.41
5:50.705 772.37
5:50.787 800.92
5:50.871 819.75
5:50.971 788.83
5:51.072 769.79
5:51.119 798.57
5:51.206 820.51
5:51.288 792.67
5:51.419 769.88
5:51.473 803.17
5:51.573 821.43
5:51.674 787.27
5:51.754 769.29
5:51.836 799.82
5:51.921 820.03
5:52.021 792.75
5:52.121 772.82
5:52.175 807.79
5:52.256 819.32
5:52.337 782.04
5:52.475 770.81
5:52.522 805.74
5:52.622 820.15
5:52.724 788.68
5:52.776 774.11
5:52.876 811.95
5:52.976 821.38
5:53.077 780.93
5:53.123 774.07
5:53.211 810.50
5:53.339 819.85
5:53.377 787.93
5:53.478 777.17
5:53.578 812.19
5:53.678 815.77
5:53.725 775.65
5:53.825 774.87
5:53.926 811.16
5:54.026 814.14
5:54.079 777.52
5:54.180 772.88
5:54.280 811.65
