microsec deg hall1 hall2 accelX accelY
3078578656 0 770 769 0.02 8.24
3078645208 0 771 769 -0.02 8.20
3078712812 0 770 769 0.00 0.00
3078825436 0 23593 0 8.04 0.00
3078850980 0 769 0 -0.33 8.01
3078913724 0 770 769 -0.34 8.02
3078981328 0 770 769 -0.28 8.07
3079048924 0 770 769 -0.22 8.10
3079116524 0 770 769 -0.17 8.14
3079184128 0 770 769 -0.13 0.00
3079251724 0 770 769 -0.12 8.14
3079319324 0 771 769 -0.13 8.17
3079386924 0 770 769 -0.14 8.14
3079454528 0 770 769 -0.15 8.10
3079522128 0 770 769 -0.16 8.12
3079589728 0 770 769 -0.11 8.14
3079657328 0 770 769 -0.08 8.16
3079724928 0 770 769 -0.09 8.18
3079792528 0 769 769 -0.09 8.16
3079860128 0 770 769 -0.12 8.15
3079927728 0 770 769 -0.16 8.10
3079995328 0 770 769 -0.23 8.09
3080062928 0 770 769 -0.24 8.05
3080130528 0 770 769 0.00 0.00
3080197088 0 31457 7864 0.00 0.00
3080266776 0 -15729 28836 0.00 -0.22
3080339576 0 28836 770 0.00 8.11
3080408216 0 770 769 -0.13 8.15
3080475816 0 770 770 -0.09 8.17
3080543416 0 770 769 -0.07 8.18
3080611016 0 769 769 -0.08 8.17
3080678616 0 770 769 -0.12 8.15
3080746212 0 770 769 -0.17 8.14
3080813812 0 770 769 -0.17 8.12
3080881420 0 770 769 -0.18 8.11
3080949012 0 771 769 -0.17 8.11
3081016604 0 771 769 -0.15 8.11
3081084204 0 770 769 -0.12 8.12
3081151812 0 770 769 -0.12 8.15
3081219404 0 770 769 -0.15 8.13
3081287004 0 770 769 -0.21 8.13
3081354608 0 770 769 -0.24 8.08
3081422204 0 770 769 -0.29 8.08
3081489804 0 770 769 -0.25 8.08
3081557404 0 770 769 -0.19 8.10
3081625004 0 770 769 -0.13 8.15
3081692604 0 770 769 -0.07 8.21
3081760204 0 771 769 -0.02 8.20
3081827804 0 770 770 -0.04 8.19
3081895404 0 770 769 -0.11 8.17
3081963004 0 770 769 -0.18 8.12
3082030604 0 770 769 -0.20 8.07
3082098204 0 770 769 -0.21 8.08
3082165808 0 770 769 -0.17 8.10
3082233404 0 770 769 -0.15 8.16
3082301004 0 770 769 -0.11 8.14
3082368604 0 770 769 -0.12 8.17
3082436204 0 770 769 -0.14 8.14
3082555716 6 770 769 -0.22 0.00
3082633168 8 -15729 28836 0.00 0.00
3082661140 8 7864 18350 0.00 0.00
3082782752 8 -31457 28836 0.00 8.12
3082862652 9 770 769 8.16 0.00
3082888216 9 769 0 -0.05 8.20
3082950940 9 770 769 -0.06 8.19
3083018544 9 770 769 -0.07 8.15
3083086152 9 770 769 -0.11 8.15
3083153744 9 770 769 -0.15 8.12
3083221340 9 770 769 -0.19 8.10
3083340860 9 770 769 -0.18 0.00
3083366416 9 20972 -5243 0.00 0.00
3083435392 9 -26214 26214 0.00 -0.12
3083508188 9 26214 770 0.00 8.15
3083576828 9 770 769 -0.13 8.14
3083644428 9 770 769 -0.17 8.13
3083763944 9 770 769 -0.19 0.00
3083789504 9 -31457 28836 0.00 0.00
3083859516 9 -13107 28836 0.00 -0.22
3083932308 9 -15729 770 0.00 -0.20
3084003032 9 -15729 770 0.00 -0.19
3084073760 9 -15729 770 0.00 -0.14
3084144484 9 15729 770 0.00 -0.11
3084214164 9 -5243 770 0.00 -0.09
3084335716 9 15729 770 0.00 0.00
3084361332 9 769 0 -0.15 8.14
3084426080 9 770 769 -0.15 8.12
3084545564 11 770 768 -0.19 0.00
3084623064 16 5243 -15729 0.00 0.00
3084702944 22 20972 -5243 0.00 0.00
3084782832 24 20972 5243 0.00 0.00
3084809764 24 -26214 5243 0.00 0.00
3084933432 24 -10486 26214 0.00 8.26
3084962444 24 770 769 -0.09 8.05
3085031084 24 770 769 -0.15 8.14
3085099728 24 770 769 -0.18 8.13
3085168368 24 770 769 -0.22 8.09
3085237008 24 770 769 -0.20 8.11
3085305648 24 770 769 -0.17 8.12
3085374292 24 770 769 -0.11 8.14
3085442928 24 770 769 -0.08 8.15
3085511572 24 770 769 -0.09 8.19
3085580212 24 770 769 -0.11 8.28
3085648848 24 770 769 -0.13 8.14
3085717488 24 770 769 -0.18 8.09
3085786136 24 770 769 -0.20 8.06
3085854776 24 770 769 -0.21 8.08
3085923420 24 770 769 -0.19 8.11
3085992060 24 770 769 -0.17 8.14
3086060700 24 770 769 -0.12 8.17
3086129336 24 770 769 -0.05 8.12
3086197976 24 770 769 -0.08 8.17
3086266608 24 771 769 -0.14 8.14
3086335248 24 770 769 -0.22 8.12
3086403888 24 770 769 -0.23 8.10
3086472528 24 770 769 -0.20 8.08
3086541168 24 770 769 -0.16 8.14
3086609808 24 770 769 -0.11 8.25
3086678448 24 770 769 -0.05 8.22
3086799008 24 770 769 -0.07 0.00
