microsec deg hall1 hall2 accelX accelY
133145988 12 -10486 574 0.00 1.84
133215668 12 10486 574 0.00 1.90
133284308 12 -15729 575 0.00 1.90
133353988 12 31457 575 0.00 1.91
133422628 12 7864 575 0.00 1.90
133490228 12 7864 575 0.00 1.89
133557828 12 -13107 574 0.00 1.85
133679424 13 28836 574 0.00 0.00
133756968 16 654 0 7.36 0.00
133834292 19 654 0 7.36 0.00
133911660 22 654 0 7.36 0.00
133989016 24 654 0 7.35 0.00
134066376 26 654 0 7.37 0.00
134143716 29 654 0 7.35 0.00
134221080 32 654 0 7.37 0.00
134298440 35 654 0 7.39 0.00
134375800 38 654 0 7.43 0.00
134453164 40 654 0 7.40 0.00
134530492 42 654 0 7.39 0.00
134607864 45 654 0 7.42 0.00
134685228 47 654 0 7.41 0.00
134762604 50 654 0 7.40 0.00
134839956 53 654 0 7.38 0.00
134917320 55 655 0 7.37 0.00
134994660 57 654 0 7.35 0.00
135072004 58 654 0 7.36 0.00
135149368 60 654 0 7.35 0.00
135226708 62 654 0 7.35 0.00
135304052 65 654 0 7.39 0.00
135381380 67 653 0 7.39 0.00
135458744 69 654 0 7.40 0.00
135536068 70 654 0 7.41 0.00
135561524 70 654 0 1.90 0.00
135621236 70 28836 574 0.00 1.89
135689868 70 -15729 574 0.00 1.88
135759556 70 -13107 574 0.00 1.87
135829236 70 31457 574 0.00 1.86
135897876 70 31457 574 0.00 1.80
135966524 70 31457 574 0.00 1.79
136035156 70 -31457 574 0.00 1.77
136156744 72 -31457 574 0.00 0.00
136234524 74 654 0 7.36 0.00
136311900 78 650 0 7.33 0.00
136389248 81 634 0 7.15 0.00
136414700 81 638 0 2.10 7.36
136474404 81 592 654 1.67 5.60
136592860 81 643 685 1.45 0.00
136631576 81 5243 -13107 0.00 0.00
136686352 81 20972 0 0.81 0.00
136752912 81 763 15729 0.45 0.00
136821552 81 755 18350 2.83 0.00
136890196 81 687 18350 4.19 0.00
136958836 81 708 -15729 0.67 0.00
137028516 81 761 -26214 1.00 0.00
