microsec deg hall1 hall2 accelX accelY
1089726392 0 507 662 -0.16 8.12
1089793992 0 507 661 -0.14 8.13
1089861592 0 507 661 -0.15 8.10
1089929192 0 507 661 -0.13 8.12
1089996784 0 507 661 -0.14 8.13
1090064392 0 507 661 -0.13 8.13
1090132000 0 507 661 -0.12 8.13
1090199592 0 507 661 -0.12 8.13
1090267192 0 508 661 -0.12 8.14
1090334800 0 507 661 -0.12 8.13
1090402400 0 507 661 -0.12 8.15
1090469996 0 507 661 -0.11 8.14
1090537600 0 507 661 -0.11 8.13
1090605200 0 507 661 -0.12 8.13
1090672800 0 507 661 -0.13 8.14
1090740396 0 507 661 -0.13 8.14
1090808000 0 507 661 -0.12 8.12
1090875592 0 507 661 -0.12 8.12
1090943196 0 507 661 -0.15 8.12
1091010788 0 507 661 -0.14 8.12
1091078384 0 507 661 -0.15 8.12
1091145996 0 508 661 -0.15 8.13
1091213588 0 507 661 -0.13 8.12
1091281180 0 507 661 -0.13 8.13
1091348784 0 507 661 -0.14 8.14
1091416388 0 507 661 -0.13 8.12
1091483984 0 507 661 -0.14 8.13
1091551584 0 507 661 -0.13 8.13
1091619184 0 507 661 -0.14 8.11
1091686784 0 507 661 -0.13 8.13
1091754380 0 507 661 -0.13 8.13
1091821988 0 507 661 -0.14 8.12
1091889592 0 507 661 -0.13 8.12
1091957188 0 507 661 -0.14 8.12
1092024784 0 507 661 -0.13 8.14
1092092388 0 507 661 -0.11 8.10
1092159980 0 507 661 -0.14 8.11
1092227592 0 507 661 -0.13 8.12
1092295188 0 507 661 -0.13 8.13
1092362780 0 507 660 -0.14 8.10
1092430380 0 508 661 -0.13 8.11
1092497988 0 507 661 -0.13 8.12
1092565588 0 507 661 -0.11 8.13
1092633180 0 507 661 -0.13 8.12
1092700792 0 507 661 -0.13 8.14
1092768388 0 508 661 -0.11 8.14
1092835992 0 507 661 -0.14 8.11
1092903588 0 507 661 -0.11 8.15
1092971180 0 507 661 -0.15 8.12
1093038788 0 507 661 -0.14 8.13
1093106388 0 507 661 -0.13 8.10
1093173988 0 507 661 -0.13 8.12
1093241588 0 507 661 -0.14 8.13
1093309188 0 508 661 -0.13 8.10
1093376788 0 507 661 -0.14 8.11
1093444380 0 507 661 -0.14 8.12
1093511992 0 507 660 -0.13 8.13
1093579584 0 507 661 -0.15 8.10
1093647192 0 507 661 -0.14 8.13
1093714792 0 507 661 -0.12 8.14
1093782392 0 508 661 -0.11 8.12
1093849984 0 507 661 -0.14 8.13
1093917592 0 507 661 -0.11 8.12
1093985192 0 507 661 -0.14 8.14
1094052788 0 507 661 -0.11 8.12
1094120392 0 507 661 -0.14 8.14
1094187988 0 507 661 -0.13 8.13
1094255592 0 507 661 -0.14 8.13
1094323192 0 507 661 -0.14 8.11
1094390800 0 507 661 -0.13 8.11
1094458400 0 507 661 -0.14 8.13
1094526000 0 507 661 -0.14 8.13
1094593600 0 507 661 -0.13 8.12
1094661192 0 507 661 -0.15 8.12
1094728800 0 507 661 -0.12 8.13
1094796396 0 508 661 -0.11 8.13
1094864000 0 507 661 -0.13 8.13
1094931592 0 507 661 -0.12 8.13
1094999200 0 508 662 -0.11 8.13
1095066792 0 508 662 -0.12 8.13
1095134400 0 507 661 -0.11 8.14
1095202000 0 507 661 -0.13 8.11
1095269596 0 507 661 -0.11 8.13
1095337196 0 508 661 -0.11 8.13
1095404784 0 507 661 -0.12 8.12
1095472396 0 507 661 -0.13 8.11
1095539984 0 507 661 -0.14 8.11
1095607584 0 507 661 -0.15 8.12
1095675184 0 507 661 -0.16 8.12
1095742788 0 507 661 -0.15 8.13
1095810388 0 507 661 -0.13 8.12
1095877988 0 507 660 -0.14 8.12
1095945592 0 508 661 -0.14 8.12
1096013188 0 507 661 -0.14 8.11
1096080780 0 508 661 -0.12 8.13
1096148388 0 508 661 -0.13 8.12
1096215988 0 507 661 -0.14 8.14
1096283580 0 507 661 -0.12 8.13
1096351180 0 507 661 -0.13 8.14
1096418792 0 507 661 -0.13 8.14
1096486388 0 508 661 -0.11 8.12
1096553992 0 507 661 -0.11 8.14
1096621584 0 507 661 -0.13 8.13
1096689188 0 507 661 -0.12 8.12
1096756780 0 507 661 -0.13 8.11
1096824380 0 507 661 -0.16 8.13
1096891984 0 507 661 -0.14 8.14
1096959588 0 506 661 -0.13 8.11
1097027192 0 507 661 -0.13 8.13
1097094792 0 506 661 -0.14 8.11
1097162388 0 507 661 -0.13 8.14
1097229988 0 507 661 -0.14 8.13
1097297592 0 507 661 -0.12 8.13
1097365188 0 506 661 -0.13 8.15
1097432788 0 507 661 -0.13 8.14
1097500388 0 507 661 -0.11 8.13
1097567988 0 507 661 -0.13 8.15
1097635588 0 508 661 -0.12 8.13
1097703192 0 507 661 -0.11 8.14
1097770788 0 508 661 -0.11 8.14
1097838384 0 507 661 -0.13 8.14
1097905984 0 507 661 -0.14 8.12
1097973584 0 507 661 -0.13 8.13
1098041184 0 507 661 -0.14 8.11
1098108788 0 507 661 -0.12 8.11
1098176392 0 507 661 -0.16 8.11
1098243992 0 507 661 -0.16 8.11
1098311588 0 507 661 -0.14 8.13
1098379192 0 507 661 -0.15 8.14
1098446784 0 507 661 -0.13 8.12
1098514388 0 507 661 -0.13 8.12
1098633896 3 507 661 -0.13 0.00
1098711344 7 -15729 5243 0.00 0.00
1098790160 10 -15729 -5243 0.00 0.00
1098871060 13 18350 26214 0.00 -0.12
1098951976 14 15729 508 0.00 8.12
1099029780 15 507 661 8.13 0.00
1099055376 15 661 0 -0.11 8.14
1099120140 15 507 661 -0.13 8.13
1099188780 15 507 661 -0.13 8.12
1099257420 15 507 661 -0.15 8.13
1099326060 15 507 661 -0.15 8.12
1099394700 15 507 661 -0.15 8.12
1099515228 16 507 661 -0.14 0.00
1099592748 17 -15729 -15729 0.00 0.00
1099674712 20 23593 26214 0.00 -0.11
1099755644 22 5243 507 0.00 8.14
1099781296 22 507 661 -0.11 8.14
1099901056 24 507 661 -0.13 0.00
1099926656 24 -15729 26214 0.00 0.00
1100050612 25 -15729 15729 0.00 8.12
1100079624 25 507 661 -0.12 8.13
