min:s.ms grams
1:43.534 823.13
1:43.617 823.13
1:43.735 823.13
1:43.817 823.12
1:43.867 823.13
1:43.977 823.12
1:44.067 823.10
1:44.150 823.08
1:44.233 823.08
1:44.300 823.05
1:44.417 823.02
1:44.500 823.01
1:44.583 823.01
1:44.667 823.00
1:44.750 822.98
1:44.866 822.99
1:44.933 822.98
1:45.016 822.95
1:45.099 822.94
1:45.182 822.91
1:45.267 822.89
1:45.349 822.87
1:45.465 822.85
1:45.549 822.84
1:45.632 822.83
1:45.715 822.82
1:45.798 822.80
1:45.882 822.79
1:45.964 822.80
1:46.048 822.80
1:46.164 822.76
1:46.248 822.73
1:46.331 822.73
1:46.398 822.70
1:46.481 822.67
1:46.597 822.67
1:46.681 822.65
1:46.764 822.63
1:46.847 822.65
1:46.931 822.67
1:47.014 822.66
1:47.097 822.65
1:47.180 822.65
1:47.298 822.63
1:47.347 822.61
1:47.463 822.59
1:47.546 822.57
1:47.630 822.55
1:47.713 822.56
1:47.797 822.58
1:47.880 822.58
1:47.963 822.61
1:48.046 822.62
1:48.165 822.59
1:48.213 822.61
1:48.345 822.63
1:48.429 822.65
1:48.512 822.65
1:48.595 822.66
1:48.678 822.66
1:48.762 822.67
1:48.883 822.67
1:48.928 822.66
1:49.011 822.68
1:49.095 822.72
1:49.211 822.73
1:49.295 822.73
1:49.378 822.71
1:49.445 822.71
1:49.529 822.71
1:49.646 822.71
1:49.727 822.75
1:49.795 822.74
1:49.878 822.74
1:49.977 822.72
1:50.100 822.69
1:50.145 822.67
1:50.229 822.67
1:50.327 822.67
1:50.410 822.69
1:50.493 822.73
1:50.577 822.73
1:50.661 822.72
1:50.776 822.71
1:50.860 822.72
1:50.943 822.75
1:51.026 822.75
1:51.110 822.74
1:51.215 822.75
1:51.292 822.75
1:51.376 822.76
1:51.460 822.79
1:51.587 822.81
1:51.626 822.84
1:51.709 822.86
1:51.827 822.86
1:51.875 822.86
1:51.974 822.86
1:52.058 822.84
1:52.141 822.83
1:52.226 822.83
1:52.358 822.85
1:52.441 822.87
1:52.491 822.88
1:52.607 822.88
1:52.691 822.86
1:52.774 822.86
1:52.859 822.85
1:52.941 822.85
1:53.059 822.81
1:53.107 822.80
1:53.208 822.83
1:53.290 822.83
1:53.373 822.86
1:53.506 822.88
1:53.541 822.88
1:53.662 822.88
1:53.706 822.91
1:53.823 822.93
1:53.907 822.93
1:53.990 822.91
1:54.073 822.89
1:54.156 822.90
1:54.257 822.92
1:54.339 822.91
1:54.422 822.92
1:54.505 822.92
1:54.622 822.94
1:54.705 822.93
1:54.790 822.93
1:54.871 822.95
1:54.954 822.94
1:55.038 822.92
1:55.121 822.92
1:55.205 822.92
1:55.288 822.93
1:55.371 822.95
1:55.489 822.97
1:55.572 822.96
1:55.654 822.97
1:55.737 823.01
1:55.821 823.39
1:55.904 823.39
1:55.987 821.46
1:56.070 818.18
1:56.154 818.82
1:56.237 824.52
1:56.320 821.40
1:56.453 816.36
1:56.537 817.73
1:56.620 833.01
1:56.701 828.05
1:56.786 808.01
1:56.870 809.26
1:56.953 823.75
1:57.036 819.31
1:57.120 799.71
1:57.202 804.31
1:57.286 820.76
1:57.369 815.13
1:57.502 799.40
1:57.585 800.57
1:57.670 820.61
1:57.753 816.81
1:57.852 781.74
1:57.935 783.39
1:58.019 820.93
1:58.102 815.26
1:58.169 780.09
1:58.251 780.08
1:58.335 812.94
1:58.418 818.59
1:58.535 784.99
1:58.617 780.89
1:58.701 820.09
1:58.784 820.63
1:58.867 785.89
1:58.950 781.57
