min:s.ms grams
1:59.034 809.96
1:59.168 822.49
1:59.217 790.15
1:59.300 775.03
1:59.384 810.66
1:59.467 818.99
1:59.568 781.61
1:59.650 778.18
1:59.733 806.99
1:59.816 820.83
1:59.900 792.87
2:00.016 773.93
2:00.099 805.13
2:00.183 821.49
2:00.266 791.19
2:00.349 777.30
2:00.432 799.94
2:00.515 818.54
2:00.599 792.10
2:00.682 772.09
2:00.765 803.27
2:00.848 824.60
2:00.965 795.40
2:01.048 779.67
2:01.131 806.66
2:01.215 819.46
2:01.298 792.63
2:01.381 778.10
2:01.502 805.06
2:01.581 814.26
2:01.665 788.73
2:01.747 781.02
2:01.814 801.15
2:01.897 800.49
2:02.019 783.12
2:02.064 786.06
2:02.180 811.36
2:02.264 805.29
2:02.347 783.25
2:02.430 787.03
2:02.547 806.71
2:02.629 799.38
2:02.713 782.89
2:02.763 789.86
2:02.880 802.22
2:02.963 790.42
2:03.082 781.45
2:03.129 796.15
2:03.251 798.36
2:03.291 782.62
2:03.412 787.32
2:03.496 806.79
2:03.579 803.13
2:03.663 780.15
2:03.745 782.26
2:03.829 802.66
2:03.912 794.95
2:04.013 776.60
2:04.095 785.96
2:04.174 804.20
2:04.261 790.17
2:04.378 775.63
2:04.461 794.33
2:04.544 805.89
2:04.627 783.40
2:04.711 778.07
2:04.794 799.95
2:04.877 802.14
2:04.945 775.61
2:05.077 776.09
2:05.161 799.95
2:05.244 792.93
2:05.327 770.90
2:05.410 781.18
2:05.493 803.11
2:05.577 789.56
2:05.681 772.20
2:05.777 786.88
2:05.860 800.30
2:05.943 781.21
2:06.026 772.59
2:06.109 789.26
2:06.193 794.01
2:06.259 772.38
2:06.344 773.50
2:06.440 793.12
2:06.526 789.44
2:06.642 771.39
2:06.725 778.62
2:06.809 796.22
2:06.892 785.99
2:06.959 771.62
2:07.044 783.54
2:07.125 794.40
2:07.241 778.77
2:07.309 772.42
2:07.393 788.79
2:07.492 791.82
2:07.574 773.16
2:07.682 777.23
2:07.775 795.17
2:07.842 789.53
2:07.924 773.35
2:08.008 781.55
2:08.133 796.52
2:08.174 783.79
2:08.257 774.27
2:08.390 787.76
2:08.473 795.15
2:08.540 779.04
2:08.624 775.16
2:08.708 792.00
2:08.790 791.69
2:08.873 774.66
2:08.956 779.51
2:09.073 796.03
2:09.140 787.89
2:09.223 774.07
2:09.306 784.16
2:09.389 796.96
2:09.507 781.55
2:09.590 775.54
2:09.672 790.57
2:09.773 794.41
2:09.855 778.28
2:09.941 777.15
2:10.023 794.65
2:10.131 790.19
2:10.173 775.71
2:10.255 783.81
2:10.373 797.45
2:10.455 786.56
2:10.537 776.28
2:10.621 788.24
2:10.704 795.76
2:10.788 779.87
2:10.871 778.29
2:10.988 793.07
2:11.070 792.85
2:11.154 777.88
2:11.225 780.18
2:11.338 796.54
2:11.420 788.06
2:11.503 777.43
2:11.587 787.76
2:11.670 798.33
2:11.753 785.09
2:11.836 778.56
2:11.920 792.78
2:12.003 796.07
2:12.103 780.12
2:12.186 782.55
2:12.269 796.82
2:12.386 791.98
2:12.470 779.17
2:12.552 784.85
2:12.636 798.49
2:12.719 785.99
2:12.802 779.21
2:12.885 791.43
2:12.968 797.62
2:13.052 783.21
2:13.135 779.76
2:13.251 794.93
2:13.335 793.56
2:13.418 778.77
2:13.501 783.30
2:13.585 798.27
2:13.668 789.29
2:13.752 777.17
2:13.869 787.85
2:13.951 799.35
2:14.034 782.77
2:14.117 779.29
2:14.194 794.37
2:14.284 796.37
2:14.367 781.09
2:14.451 781.51
2:14.533 797.53
2:14.617 790.83
2:14.748 779.33
2:14.784 788.14
2:14.916 796.15
2:15.000 786.69
2:15.083 781.63
2:15.166 790.54
2:15.249 792.40
2:15.333 783.21
2:15.416 785.29
2:15.499 792.17
2:15.582 789.95
2:15.666 783.44
2:15.783 785.50
2:15.865 793.30
2:15.949 785.06
2:16.032 782.59
2:16.115 789.47
2:16.194 791.43
2:16.265 783.60
2:16.381 781.61
2:16.465 793.93
2:16.548 790.38
2:16.631 778.91
2:16.714 786.01
2:16.798 797.84
2:16.915 786.32
2:16.997 777.31
2:17.081 790.55
2:17.164 796.66
2:17.247 779.51
2:17.330 780.39
2:17.414 795.70
2:17.497 793.58
2:17.580 778.35
2:17.697 782.80
2:17.780 799.79
2:17.863 788.44
2:17.946 777.67
2:18.030 790.19
2:18.113 799.53
2:18.196 785.26
2:18.279 780.09
2:18.362 794.81
2:18.479 796.81
2:18.562 780.80
2:18.646 783.66
2:18.729 798.88
2:18.812 793.06
2:18.895 780.32
2:18.978 787.84
2:19.062 800.48
2:19.163 786.90
2:19.264 780.84
2:19.345 793.03
2:19.428 797.59
2:19.511 783.87
2:19.595 781.32
2:19.711 796.80
2:19.794 793.02
2:19.877 779.60
2:19.961 786.00
2:20.027 795.66
2:20.111 786.94
2:20.211 779.90
2:20.294 788.81
2:20.377 793.30
2:20.495 780.87
2:20.577 780.53
2:20.661 791.52
2:20.743 790.63
2:20.827 779.34
2:20.910 781.28
2:20.993 794.65
2:21.076 786.56
2:21.160 778.25
2:21.276 787.36
2:21.359 795.38
2:21.443 784.14
2:21.526 779.58
2:21.609 795.12
2:21.692 797.57
2:21.776 779.50
2:21.860 782.95
2:21.961 799.53
2:22.059 791.79
2:22.142 778.91
2:22.224 787.46
2:22.308 799.57
2:22.391 785.44
2:22.475 781.18
2:22.542 793.34
2:22.625 796.09
2:22.741 783.95
2:22.809 782.07
2:22.908 796.01
2:22.991 791.87
2:23.107 781.10
2:23.191 787.06
2:23.273 795.28
2:23.357 787.72
2:23.440 781.21
2:23.508 789.02
2:23.591 792.25
2:23.708 781.40
2:23.790 783.37
2:23.873 791.64
2:23.941 790.03
2:24.070 782.78
2:24.107 786.02
2:24.239 792.74
2:24.322 784.37
2:24.406 783.63
2:24.456 788.89
2:24.557 789.01
2:24.640 784.22
2:24.723 783.10
2:24.805 789.18
2:24.923 786.22
2:24.972 782.15
2:25.088 786.35
2:25.172 789.24
2:25.256 785.01
2:25.338 782.44
2:25.422 787.80
2:25.505 789.07
2:25.621 781.12
2:25.704 781.70
2:25.788 787.92
2:25.871 784.74
2:25.955 778.77
2:26.037 782.66
2:26.121 788.81
2:26.204 780.10
2:26.320 779.92
2:26.404 786.41
2:26.453 786.41
2:26.570 780.66
2:26.653 781.03
2:26.737 787.42
2:26.820 782.46
2:26.903 780.04
2:27.031 784.15
2:27.120 785.05
2:27.153 782.27
2:27.270 782.27
2:27.353 786.74
2:27.436 785.61
2:27.519 782.34
2:27.602 784.68
2:27.686 785.48
2:27.769 784.55
2:27.897 782.12
2:27.935 784.00
2:28.052 785.59
2:28.134 781.41
2:28.218 782.01
2:28.302 784.06
2:28.402 783.70
2:28.468 781.33
2:28.586 782.36
2:28.634 784.97
2:28.751 781.37
2:28.834 782.55
2:28.901 783.34
2:28.984 783.34
2:29.101 782.98
2:29.184 781.32
2:29.267 783.94
2:29.351 781.85
2:29.474 781.85
2:29.517 783.64
2:29.600 782.94
2:29.733 783.72
2:29.818 782.80
2:29.866 784.06
2:29.950 783.27
2:30.056 782.72
2:30.133 783.84
2:30.216 783.57
2:30.300 784.24
2:30.417 783.04
2:30.499 784.43
2:30.583 784.43
2:30.666 782.57
2:30.749 783.90
2:30.832 782.63
2:30.916 784.03
2:30.999 783.06
2:31.082 782.35
2:31.166 783.27
2:31.282 781.59
2:31.365 782.44
2:31.448 782.27
2:31.531 783.02
2:31.615 782.82
2:31.698 781.53
2:31.781 782.75
2:31.864 781.02
2:31.983 782.19
2:32.064 782.29
2:32.147 782.29
2:32.231 782.61
2:32.314 781.34
2:32.397 783.64
2:32.480 781.73
2:32.564 781.66
2:32.647 782.97
2:32.775 782.97
2:32.814 782.73
2:32.930 782.18
2:32.996 784.17
2:33.080 782.99
2:33.163 781.52
2:33.280 783.49
2:33.363 783.42
2:33.446 784.48
2:33.529 782.67
2:33.612 783.04
2:33.696 785.09
2:33.779 787.64
2:33.896 787.64
2:33.979 788.40
2:34.062 796.59
2:34.145 797.04
2:34.262 797.33
2:34.295 801.09
2:34.412 798.64
2:34.479 799.43
2:34.595 801.93
2:34.678 804.48
2:34.761 807.62
2:34.845 801.58
2:34.928 803.55
2:35.011 809.08
2:35.094 811.85
2:35.212 815.51
2:35.261 817.24
2:35.377 818.80
2:35.460 819.95
2:35.544 818.24
2:35.627 812.07
2:35.710 815.47
2:35.827 814.25
2:35.910 813.17
2:35.961 818.95
2:36.083 813.95
2:36.127 820.48
2:36.243 829.46
2:36.326 809.10
2:36.410 805.32
2:36.476 829.49
2:36.609 841.76
2:36.660 814.34
2:36.742 800.88
2:36.859 823.25
2:36.942 825.57
2:37.025 813.94
2:37.109 807.83
2:37.176 819.64
2:37.293 819.64
2:37.375 820.56
2:37.458 829.18
2:37.526 819.29
2:37.668 811.82
2:37.708 815.80
2:37.792 828.49
2:37.875 826.70
2:37.974 816.57
2:38.091 816.62
2:38.174 818.21
2:38.258 828.38
2:38.341 819.78
2:38.424 811.15
2:38.492 815.64
2:38.575 820.76
2:38.658 826.72
2:38.790 819.96
2:38.825 814.16
2:38.957 815.22
2:39.040 825.86
2:39.123 824.97
2:39.207 816.06
2:39.290 814.34
2:39.373 817.31
2:39.456 830.02
2:39.540 821.31
2:39.624 809.45
2:39.706 813.56
2:39.789 822.99
2:39.922 828.12
2:40.007 818.11
2:40.055 813.15
2:40.139 815.73
2:40.255 827.30
2:40.323 823.24
2:40.405 813.22
2:40.488 812.91
2:40.621 817.47
2:40.705 829.01
2:40.788 819.13
2:40.856 810.31
2:40.940 814.01
2:41.022 822.19
2:41.104 826.77
2:41.187 817.23
2:41.306 811.87
2:41.387 814.96
2:41.472 827.11
2:41.555 822.87
2:41.654 812.27
2:41.738 811.59
2:41.822 817.82
2:41.905 829.71
2:41.987 818.56
2:42.098 810.10
2:42.137 814.49
2:42.255 823.32
2:42.335 827.24
2:42.436 816.79
2:42.520 811.19
2:42.603 815.07
2:42.686 827.07
2:42.769 821.79
2:42.852 811.96
2:42.936 811.98
2:43.018 818.19
2:43.102 828.72
2:43.185 817.92
2:43.303 810.53
2:43.385 814.64
2:43.468 823.46
2:43.551 826.92
2:43.635 816.43
2:43.717 811.57
2:43.801 815.92
2:43.884 828.06
2:43.967 822.14
2:44.084 812.32
2:44.168 812.35
2:44.250 819.43
2:44.333 829.67
2:44.417 817.77
2:44.501 810.43
2:44.583 814.67
2:44.667 824.61
2:44.807 827.33
2:44.850 815.92
2:44.933 811.91
2:45.033 817.00
2:45.116 828.65
2:45.200 822.41
2:45.283 813.13
2:45.366 813.02
2:45.484 820.48
2:45.533 829.94
2:45.666 817.76
2:45.749 811.09
2:45.832 815.09
2:45.916 825.54
2:45.982 828.17
2:46.066 815.90
2:46.149 812.46
2:46.265 818.01
2:46.348 829.61
2:46.432 823.47
2:46.515 813.91
2:46.598 812.83
2:46.681 821.44
2:46.765 830.44
2:46.848 817.10
2:46.930 810.82
2:47.048 814.65
2:47.122 826.06
2:47.215 828.61
2:47.297 815.04
2:47.380 811.96
2:47.484 817.94
2:47.581 829.46
2:47.630 823.55
2:47.763 813.76
2:47.830 812.08
2:47.913 821.44
2:47.997 830.01
2:48.080 816.34
2:48.185 810.62
2:48.263 813.94
2:48.364 825.67
2:48.446 828.28
2:48.496 814.34
2:48.613 811.95
2:48.696 817.92
2:48.779 829.18
2:48.862 823.93
2:48.946 813.99
2:49.028 812.13
2:49.112 821.81
2:49.229 829.94
2:49.312 816.42
2:49.395 811.25
2:49.478 813.85
2:49.562 825.82
2:49.662 828.42
2:49.744 814.36
2:49.829 811.87
2:49.911 817.83
2:49.996 829.38
2:50.094 824.30
2:50.178 813.55
2:50.244 807.62
2:50.329 810.00
2:50.447 825.29
2:50.513 826.48
2:50.611 817.04
2:50.694 809.17
2:50.777 816.84
2:50.860 831.11
2:50.944 827.11
2:51.044 816.60
2:51.127 811.56
2:51.202 823.70
2:51.294 834.43
2:51.410 826.13
2:51.492 820.72
2:51.560 821.35
2:51.660 823.22
2:51.760 823.76
2:51.809 822.51
2:51.894 821.89
2:51.993 822.29
2:52.092 822.42
2:52.175 822.48
2:52.302 822.04
2:52.343 821.90
2:52.425 822.28
2:52.508 822.40
2:52.641 822.12
2:52.725 822.18
2:52.775 822.26
2:52.858 821.85
2:52.975 821.68
2:53.059 821.89
2:53.154 822.01
2:53.224 821.98
2:53.292 822.13
2:53.375 822.28
2:53.474 822.14
2:53.557 822.00
2:53.653 822.07
2:53.737 822.17
2:53.834 822.20
2:53.929 822.10
2:54.024 821.98
2:54.118 821.91
2:54.191 821.76
2:54.287 821.68
2:54.381 821.85
2:54.428 822.03
2:54.505 822.00
2:54.639 821.94
2:54.731 822.00
2:54.806 821.95
2:54.889 821.90
2:54.972 822.00
2:55.055 822.15
2:55.139 822.02
2:55.224 821.91
2:55.305 821.94
2:55.389 821.83
2:55.472 821.81
2:55.555 821.98
2:55.672 822.03
2:55.738 822.04
2:55.821 822.04
2:55.921 822.06
2:56.004 822.01
2:56.088 821.98
2:56.171 822.06
2:56.280 822.10
2:56.354 822.01
2:56.425 821.96
2:56.554 821.95
2:56.636 821.97
2:56.718 822.04
2:56.803 822.13
