min:s.ms grams
1:05.618 772.05
1:05.674 795.60
1:05.752 818.53
1:05.834 797.56
1:05.918 770.72
1:06.019 797.39
1:06.119 821.93
1:06.172 793.57
1:06.288 769.72
1:06.372 789.16
1:06.473 815.31
1:06.573 797.00
1:06.620 768.86
1:06.706 794.02
1:06.789 821.83
1:06.874 794.22
1:06.974 769.86
1:07.074 795.32
1:07.175 817.26
1:07.223 793.65
1:07.375 771.68
1:07.422 799.63
1:07.522 817.26
1:07.575 788.98
1:07.677 768.38
1:07.775 794.51
1:07.876 817.48
1:07.976 798.24
1:08.023 773.84
1:08.123 800.75
1:08.210 820.59
1:08.292 791.66
1:08.377 769.94
1:08.477 799.22
1:08.524 817.29
1:08.624 789.36
1:08.724 773.29
1:08.824 806.84
1:08.878 815.89
1:08.978 780.25
1:09.078 776.21
1:09.178 809.67
1:09.278 818.31
1:09.325 791.46
1:09.425 780.89
1:09.525 810.06
1:09.579 812.17
1:09.679 777.76
1:09.779 777.48
1:09.880 807.71
1:09.926 806.42
1:10.027 776.97
1:10.127 780.87
1:10.180 813.98
1:10.327 808.03
1:10.381 776.89
1:10.481 787.03
1:10.581 814.93
1:10.628 801.10
1:10.728 775.40
1:10.829 788.23
1:10.882 807.52
1:10.982 790.00
1:11.066 769.33
1:11.160 789.86
1:11.245 812.85
1:11.329 790.22
1:11.430 773.67
1:11.483 797.88
1:11.583 817.59
1:11.683 789.40
1:11.784 771.24
1:11.884 798.14
1:11.984 812.67
1:12.031 781.06
1:12.131 771.61
1:12.185 803.18
1:12.285 806.06
1:12.386 774.62
1:12.486 778.48
1:12.533 811.37
1:12.633 804.60
1:12.733 777.70
1:12.833 789.76
1:12.887 809.68
1:12.987 794.40
1:13.087 772.84
1:13.187 782.94
1:13.234 803.79
1:13.334 787.39
1:13.434 776.74
1:13.535 793.90
1:13.588 805.06
1:13.688 788.14
1:13.789 774.92
1:13.889 799.39
1:13.936 808.83
1:14.036 786.41
1:14.136 791.12
1:14.236 805.22
1:14.290 801.69
1:14.390 774.66
1:14.485 776.44
1:14.573 811.81
1:14.622 801.83
1:14.753 778.32
1:14.791 798.97
1:14.891 818.29
1:14.992 797.92
1:15.092 770.68
1:15.192 798.20
1:15.239 820.95
1:15.339 797.78
1:15.408 783.49
1:15.539 807.70
1:15.593 808.35
1:15.709 773.94
1:15.755 781.55
1:15.893 809.15
1:15.940 806.78
1:16.041 797.22
1:16.141 799.24
1:16.210 817.11
1:16.295 807.51
1:16.395 786.60
1:16.495 802.18
1:16.542 819.43
1:16.642 806.27
1:16.758 792.59
1:16.843 804.41
1:16.896 812.94
1:16.996 793.98
1:17.097 789.92
1:17.177 813.83
1:17.259 808.90
1:17.344 791.51
1:17.444 792.37
1:17.498 804.05
1:17.598 790.31
1:17.698 778.53
1:17.798 790.91
1:17.845 800.12
1:17.946 785.79
1:18.046 778.78
1:18.146 790.17
1:18.246 791.42
1:18.300 778.52
1:18.400 778.06
1:18.481 789.94
1:18.563 787.69
1:18.647 779.75
1:18.716 784.84
1:18.848 792.07
1:18.901 786.20
1:19.001 784.81
1:19.102 789.99
1:19.202 789.99
1:19.302 777.06
1:19.349 777.06
1:19.449 787.47
1:19.503 783.65
1:19.603 779.59
1:19.683 787.26
1:19.766 793.28
1:19.904 785.21
1:19.951 783.71
1:20.051 788.72
1:20.151 787.43
1:20.205 777.54
1:20.305 777.88
1:20.405 784.62
1:20.505 778.62
1:20.552 773.69
1:20.652 784.52
1:20.752 793.14
1:20.853 783.33
1:20.906 781.27
1:21.006 791.13
1:21.107 792.79
1:21.154 780.15
1:21.254 780.49
1:21.354 787.21
1:21.454 786.44
1:21.508 775.46
1:21.608 782.17
1:21.689 793.38
1:21.771 786.49
1:21.856 784.82
1:21.956 797.39
